"SITE","TREAT","PLOT","TAB","veg_weight_gm2","Type","Carbon_m2"
"STEESE",1,"18_1",2112.37737795873,79,"totalC",2513.8770232975
"STEESE",1,"20_1",2329.18252748575,52,"Overstory",1666.04994574628
"STEESE",1,"20_1",2329.18252748575,52,"Understory",610.811173181073
"STEESE",1,"20_1",2329.18252748575,52,"CWD",0.3214085584
"STEESE",1,"20_1",2329.18252748575,52,"Soil",1639.3585156415
"STEESE",1,"20_1",2329.18252748575,52,"totalC",3968.54104312725
"STEESE",1,"20_1",2322.18252748575,45,"Overstory",1666.04994574628
"STEESE",1,"20_1",2322.18252748575,45,"Understory",610.811173181073
"STEESE",1,"20_1",2322.18252748575,45,"CWD",0.3214085584
"STEESE",1,"20_1",2322.18252748575,45,"Soil",1639.3585156415
"STEESE",1,"20_1",2322.18252748575,45,"totalC",3961.54104312725
"STEESE",1,"20_1",2360.68252748575,83.5,"Overstory",1666.04994574628
"STEESE",1,"20_1",2360.68252748575,83.5,"Understory",610.811173181073
"STEESE",1,"20_1",2360.68252748575,83.5,"CWD",0.3214085584
"STEESE",1,"20_1",2360.68252748575,83.5,"Soil",1639.3585156415
"STEESE",1,"20_1",2360.68252748575,83.5,"totalC",4000.04104312725
"STEESE",1,"20_1",2356.18252748575,79,"Overstory",1666.04994574628
"STEESE",1,"20_1",2356.18252748575,79,"Understory",610.811173181073
"STEESE",1,"20_1",2356.18252748575,79,"CWD",0.3214085584
"STEESE",1,"20_1",2356.18252748575,79,"Soil",1639.3585156415
"STEESE",1,"20_1",2356.18252748575,79,"totalC",3995.54104312725
"STEESE",1,"28_1",2049.37641413983,52,"Overstory",1186.86074730776
"STEESE",1,"28_1",2049.37641413983,52,"Understory",810.417022286078
"STEESE",1,"28_1",2049.37641413983,52,"CWD",0.09864454599
"STEESE",1,"28_1",2049.37641413983,52,"Soil",587.705112860938
"STEESE",1,"28_1",2049.37641413983,52,"totalC",2637.08152700077
"STEESE",1,"28_1",2042.37641413983,45,"Overstory",1186.86074730776
"STEESE",1,"28_1",2042.37641413983,45,"Understory",810.417022286078
"STEESE",1,"28_1",2042.37641413983,45,"CWD",0.09864454599
"STEESE",1,"28_1",2042.37641413983,45,"Soil",587.705112860938
"STEESE",1,"28_1",2042.37641413983,45,"totalC",2630.08152700077
"STEESE",1,"28_1",2080.87641413983,83.5,"Overstory",1186.86074730776
"STEESE",1,"28_1",2080.87641413983,83.5,"Understory",810.417022286078
"STEESE",1,"28_1",2080.87641413983,83.5,"CWD",0.09864454599
"STEESE",1,"28_1",2080.87641413983,83.5,"Soil",587.705112860938
"STEESE",1,"28_1",2080.87641413983,83.5,"totalC",2668.58152700077
"STEESE",1,"28_1",2076.37641413983,79,"Overstory",1186.86074730776
"STEESE",1,"28_1",2076.37641413983,79,"Understory",810.417022286078
"STEESE",1,"28_1",2076.37641413983,79,"CWD",0.09864454599
"STEESE",1,"28_1",2076.37641413983,79,"Soil",587.705112860938
"STEESE",1,"28_1",2076.37641413983,79,"totalC",2664.08152700077
"STEESE",1,"29_1",863.903604135933,52,"Overstory",367.334964296481
"STEESE",1,"29_1",863.903604135933,52,"Understory",444.017472253752
"STEESE",1,"29_1",863.903604135933,52,"CWD",0.5511675857
"STEESE",1,"29_1",863.903604135933,52,"Soil",502.351060884108
"STEESE",1,"29_1",863.903604135933,52,"totalC",1366.25466502004
"STEESE",1,"29_1",856.903604135933,45,"Overstory",367.334964296481
"STEESE",1,"29_1",856.903604135933,45,"Understory",444.017472253752
"STEESE",1,"29_1",856.903604135933,45,"CWD",0.5511675857
"STEESE",1,"29_1",856.903604135933,45,"Soil",502.351060884108
"STEESE",1,"29_1",856.903604135933,45,"totalC",1359.25466502004
"STEESE",1,"29_1",895.403604135933,83.5,"Overstory",367.334964296481
"STEESE",1,"29_1",895.403604135933,83.5,"Understory",444.017472253752
"STEESE",1,"29_1",895.403604135933,83.5,"CWD",0.5511675857
"STEESE",1,"29_1",895.403604135933,83.5,"Soil",502.351060884108
"STEESE",1,"29_1",895.403604135933,83.5,"totalC",1397.75466502004
"STEESE",1,"29_1",890.903604135933,79,"Overstory",367.334964296481
"STEESE",1,"29_1",890.903604135933,79,"Understory",444.017472253752
"STEESE",1,"29_1",890.903604135933,79,"CWD",0.5511675857
"STEESE",1,"29_1",890.903604135933,79,"Soil",502.351060884108
"STEESE",1,"29_1",890.903604135933,79,"totalC",1393.25466502004
"STEESE",1,"33_1",2643.83358240675,52,"Overstory",2085.68586972772
